name,startByte,startBit,dtype,size,conversion,unit,description,state,min,max,endian
bct_body_rate1_rpm,367,0,sn,32,4.77E-08,RPM,Body Frame Rate (RPM),,,,big
bct_body_rate2,371,0,sn,32,5.00E-09,rad/sec,Body Frame Rate,,,,big
bct_body_rate2_dps,371,0,sn,32,2.86E-07,deg/s,Body Frame Rate (deg/s),,,,big
bct_body_rate2_rpm,371,0,sn,32,4.77E-08,RPM,Body Frame Rate (RPM),,,,big
bct_body_rate3,375,0,sn,32,5.00E-09,rad/sec,Body Frame Rate,,,,big
bct_body_rate3_dps,375,0,sn,32,2.86E-07,deg/s,Body Frame Rate (deg/s),,,,big
bct_body_rate3_rpm,375,0,sn,32,4.77E-08,RPM,Body Frame Rate (RPM),,,,big
bct_gyro_bias_est1,379,0,sn,16,5.00E-07,rad/sec,Estimated Gyro Bias,,,,big
bct_gyro_bias_est1_dps,379,0,sn,16,2.86E-05,deg/s,Estimated Gyro Bias (deg/s),,,,big
bct_gyro_bias_est1_rpm,379,0,sn,16,4.77E-06,RPM,Estimated Gyro Bias (RPM),,,,big
bct_gyro_bias_est2,381,0,sn,16,5.00E-07,rad/sec,Estimated Gyro Bias,,,,big
bct_gyro_bias_est2_dps,381,0,sn,16,2.86E-05,deg/s,Estimated Gyro Bias (deg/s),,,,big
bct_gyro_bias_est2_rpm,381,0,sn,16,4.77E-06,RPM,Estimated Gyro Bias (RPM),,,,big
bct_gyro_bias_est3,383,0,sn,16,5.00E-07,rad/sec,Estimated Gyro Bias,,,,big
bct_gyro_bias_est3_dps,383,0,sn,16,2.86E-05,deg/s,Estimated Gyro Bias (deg/s),,,,big
bct_gyro_bias_est3_rpm,383,0,sn,16,4.77E-06,RPM,Estimated Gyro Bias (RPM),,,,big
bct_attitude_alg,385,0,dn,8,1,1/RAW 2/FIXED_GAIN_NO_BIAS 3/FIXED_GAIN 4/MEKF,Attitude Filter Algorithm,1/RAW 2/FIXED_GAIN_NO_BIAS 3/FIXED_GAIN 4/MEKF,1,4,big
bct_good_att_rate_timer,386,0,dn,32,1,cycles,GoodAttRateTimer,,,,big
bct_bad_att_timer,390,0,dn,32,1,cycles,BadAttTimer,,,,big
bct_bad_rate_timer,394,0,dn,32,1,cycles,BadRateTimer,,,,big
bct_reinit_count,398,0,dn,32,1,none,Attitude Filter Reinit Count,,,,big
bct_attitude_valid,402,0,dn,8,1,1/YES 0/NO,Attitude Valid,1/YES 0/NO,0,1,big
bct_meas_att_valid,403,0,dn,8,1,1/YES 0/NO,Measured Attitude Valid,1/YES 0/NO,0,1,big
bct_meas_rate_valid,404,0,dn,8,1,1/YES 0/NO,Measured Rate Valid,1/YES 0/NO,0,1,big
bct_tracker_used,405,0,dn,8,1,none,Tracker Used,,,,big
bct_tracker_preference,406,0,dn,8,1,none,Tracker Preference,,,,big
bct_cmd_q_body_wrt_eci1,407,0,sn,32,5.00E-10,none,Commanded Att Quat,,,,big
bct_cmd_q_body_wrt_eci2,411,0,sn,32,5.00E-10,none,Commanded Att Quat,,,,big
bct_cmd_q_body_wrt_eci3,415,0,sn,32,5.00E-10,none,Commanded Att Quat,,,,big
